TaxonID	ToxinCarriage(icon)	ToxinCarriage	ToxinCarriage(n)	Mapping_of_original_species_names_to_new_names	LabelColor	
Klebsiella_michiganensis_KCTC_1686_NC_016612_consensus-1	-	Negative	0	1	#808080	
Klebsiella_michiganensis_strain_Oct-42_NZ_JH603153_consensus-2	-	Negative	0	2	#808080	
Klebsiella_oxytoca_10-5243_strain_Oct-43_NZ_JH603143_consensus-1	+	Positive	1	3	#000000	
Klebsiella_oxytoca_10-5243_strain_Oct-43_NZ_JH603143_consensus-2	+	Positive	1	4	#000000	
Klebsiella_oxytoca_10-5245_strain_Oct-45_NZ_JH603137_gene_copy-1	-	Negative	0	5	#808080	
Klebsiella_oxytoca_10-5248_cont1.1_NZ_AKCF01000001_consensus-1	+	Positive	1	6	#000000	
Klebsiella_oxytoca_MGH_42_NZ_KI535598_consensus-1	+	Positive	1	7	#000000	
Klebsiella_oxytoca_MGH_42_NZ_KI535598_consensus-2	+	Positive	1	8	#000000	
Klebsiella_oxytoca_MGH_28_NZ_KI535631_consensus-1	+	Positive	1	9	#000000	
Klebsiella_oxytoca_MGH_28_NZ_KI535631_consensus-2	+	Positive	1	10	#000000	
Klebsiella_oxytoca_OK-1_ctgN200L1764C39.2458_NZ_JAKY01000066_gene_copy-1	+	Positive	1	11	#000000	
Klebsiella_michiganensis_strain_MGH_NZ_KK036954_consensus-1	-	Negative	0	12	#808080	
Klebsiella_michiganensis_strain_MGH_NZ_KK036955_consensus-2	-	Negative	0	13	#808080	
Klebsiella_michiganensis_strain_MGH_NZ_KK036986_consensus-1	-	Negative	0	14	#808080	
Klebsiella_michiganensis_strain_MGH_NZ_KK036986_consensus-2	-	Negative	0	15	#808080	
Klebsiella_oxytoca_G54_adHqJ-supercont1.1_NZ_KK097709_consensus-1	-	Negative	0	16	#808080	
Klebsiella_oxytoca_G54_adHqJ-supercont1.9_NZ_KK097717_consensus-2	-	Negative	0	17	#808080	
Klebsiella_michiganensis_HKOPL1_chromosome_NZ_CP004887_consensus-1	-	Negative	0	18	#808080	
Klebsiella_michiganensis_H1g_Contig53_NZ_AYMI01000052_gene_copy-1	-	Negative	0	19	#808080	
Klebsiella_michiganensis_strain_M1_NZ_CP008841_consensus-2	-	Negative	0	20	#808080	
Klebsiella_michiganensis_strain_R8A_NZ_JNCH01000064_gene_copy-1	-	Negative	0	21	#808080	
Klebsiella_michiganensis_strain_FDAARGOS_66_NZ_JTBQ01000003_consensus-1	-	Negative	0	22	#808080	
Klebsiella_michiganensis_strain_FDAARGOS_66_NZ_JTBQ02000003_consensus-1	-	Negative	0	23	#808080	
Klebsiella_michiganensis_strain_CH2_NZ_JSWW01000059_gene_copy-1	-	Negative	0	24	#808080	
Klebsiella_oxytoca_strain_CAV1099_NZ_CP011597_consensus-1	+	Positive	1	25	#000000	
Klebsiella_michiganensis_strain_MGH87_NZ_KQ088024_consensus-1	-	Negative	0	26	#808080	
Klebsiella_michiganensis_strain_MGH87_NZ_KQ088025_consensus-2	-	Negative	0	27	#808080	
Klebsiella_michiganensis_strain_GY84G39_NZ_LDZM01000065_gene_copy-1	-	Negative	0	28	#808080	
Klebsiella_michiganensis_strain_CH5_NZ_LFUC01000008_gene_copy-1	-	Negative	0	29	#808080	
Klebsiella_michiganensis_strain_1081_KOXY_NZ_JWDQ01000191_gene_copy-1	-	Negative	0	30	#808080	
Klebsiella_michiganensis_strain_1082_KOXY_NZ_JWDP01000216_gene_copy-1	-	Negative	0	31	#808080	
Klebsiella_michiganensis_strain_1084_KOXY_NZ_JWDN01000255_gene_copy-1	-	Negative	0	32	#808080	
Klebsiella_oxytoca_strain_1047_KOXY_NZ_JWEV01000170_gene_copy-1	-	Negative	0	33	#808080	
Klebsiella_michiganensis_strain_1085_KOXY_NZ_JWDM01000371_consensus-1	-	Negative	0	34	#808080	
Klebsiella_michiganensis_strain_1085_KOXY_NZ_JWDM01000372_consensus-2	-	Negative	0	35	#808080	
Klebsiella_michiganensis_strain_1113_KOXY_NZ_JWCT01000033_gene_copy-1	+	Positive	1	36	#000000	
Klebsiella_oxytoca_strain_197_KOXY_NZ_JVQJ01000089_gene_copy-1	+	Positive	1	37	#000000	
Klebsiella_michiganensis_strain_247_KOXY_NZ_JVON01000206_gene_copy-1	+	Positive	1	38	#000000	
Klebsiella_oxytoca_strain_346_KOXY_NZ_JVKR01000200_gene_copy-1	+	Positive	1	39	#000000	
Klebsiella_michiganensis_strain_337_KOXY_NZ_JVLB01000405_consensus-1	+	Positive	1	40	#000000	
Klebsiella_michiganensis_strain_345_KOXY_NZ_JVKS01000332_consensus-1	-	Negative	0	41	#808080	
Klebsiella_michiganensis_strain_442_KOXY_NZ_JVGY01000018_consensus-1	-	Negative	0	42	#808080	
Klebsiella_oxytoca_strain_582_KOXY_NZ_JVBF01000195_consensus-1	-	Negative	0	43	#808080	
Klebsiella_oxytoca_strain_588_KOXY_NZ_JVAZ01000023_gene_copy-1	-	Negative	0	44	#808080	
Klebsiella_oxytoca_strain_633_KOXY_NZ_JUZH01000622_gene_copy-1	-	Negative	0	45	#808080	
Klebsiella_michiganensis_strain_793_KOXY_NZ_JUSQ01000093_gene_copy-1	-	Negative	0	46	#808080	
Klebsiella_oxytoca_10-5248_supercont1.1_NZ_KQ235784_consensus-1	+	Positive	1	47	#000000	
Klebsiella_oxytoca_10-5249_supercont1.1_NZ_KQ235790_consensus-1	+	Positive	1	48	#000000	
Klebsiella_oxytoca_10-5249_supercont1.2_NZ_KQ235791_consensus-2	+	Positive	1	49	#000000	
Klebsiella_oxytoca_strain_ICU1-2b_NZ_LQAL01000001_consensus-1	+	Positive	1	50	#000000	
Klebsiella_oxytoca_strain_CAV1015_NZ_CP017928_consensus-1	+	Positive	1	51	#000000	
Klebsiella_michiganensis_strain_CAV1755_NZ_MRWY01000008_consensus-2	+	Positive	1	52	#000000	
Klebsiella_michiganensis_strain_97_38_NZ_MPJB01000122_gene_copy-1	-	Negative	0	53	#808080	
Klebsiella_michiganensis_strain_3T412C_NZ_MPJL01000056_gene_copy-1	-	Negative	0	54	#808080	
Klebsiella_michiganensis_strain_K516_NZ_CP022348_consensus-1	-	Negative	0	55	#808080	
Klebsiella_michiganensis_strain_K1439_NZ_NPHU01000044_gene_copy-1	-	Negative	0	56	#808080	
Klebsiella_michiganensis_strain_K518_NZ_CP023185_consensus-1	-	Negative	0	57	#808080	
Klebsiella_oxytoca_strain_UNM_NZ_PCMV01000048_gene_copy-1	+	Positive	1	58	#000000	
Klebsiella_oxytoca_strain_FDAARGOS_432_NZ_PDLB01000004_consensus-1	+	Positive	1	59	#000000	
Klebsiella_oxytoca_strain_FDAARGOS_432_NZ_PDLB01000004_consensus-2	+	Positive	1	60	#000000	
Klebsiella_oxytoca_strain_FDAARGOS_432_NZ_PDLB01000004_consensus-3	+	Positive	1	61	#000000	
Klebsiella_oxytoca_strain_FDAARGOS_432_NZ_PDLB01000004_consensus-4	+	Positive	1	62	#000000	
Klebsiella_michiganensis_strain_SCKM020008_NZ_NWEF01000079_gene_copy-1	-	Negative	0	63	#808080	
Klebsiella_michiganensis_strain_SCKM020040_NZ_NWEL01000063_gene_copy-1	-	Negative	0	64	#808080	
Klebsiella_oxytoca_strain_WCHKO085010_NZ_NWER01000079_gene_copy-1	+	Positive	1	65	#000000	
Klebsiella_oxytoca_strain_WCHKO085006_NZ_NWES01000078_gene_copy-1	+	Positive	1	66	#000000	
Klebsiella_michiganensis_strain_D40_NZ_PIDU01000254_gene_copy-1	-	Negative	0	67	#808080	
Klebsiella_michiganensis_strain_YD358_NZ_PGIP01000123_gene_copy-1	-	Negative	0	68	#808080	
Klebsiella_michiganensis_strain_YDC736-2_NZ_PGIL01000074_gene_copy-1	-	Negative	0	69	#808080	
Klebsiella_michiganensis_strain_KONIH10_NZ_PQKO01000085_gene_copy-1	-	Negative	0	70	#808080	
Klebsiella_michiganensis_strain_DSM_NZ_PRDB01000001_consensus-2	-	Negative	0	71	#808080	
Klebsiella_oxytoca_strain_FDAARGOS_335_NZ_CP027426_consensus-1	+	Positive	1	72	#000000	
Klebsiella_oxytoca_strain_FDAARGOS_335_NZ_CP027426_consensus-2	+	Positive	1	73	#000000	
Klebsiella_oxytoca_strain_AR380_NZ_CP029128_consensus-1	+	Positive	1	74	#000000	
Klebsiella_oxytoca_strain_AR380_NZ_CP029128_consensus-2	+	Positive	1	75	#000000	
Klebsiella_michiganensis_strain_AR375_NZ_CP029141_consensus-2	-	Negative	0	76	#808080	
Klebsiella_michiganensis_strain_AR375_NZ_CP029141_consensus-3	-	Negative	0	77	#808080	
Klebsiella_grimontii_strain_WCHKG020121_NZ_QBDY01000136_gene_copy-1	+	Positive	1	78	#000000	
Klebsiella_huaxiensis_strain_WCHKl090001_NZ_CP036175_consensus-1	-	Negative	0	79	#808080	1
Klebsiella_michiganensis_strain_IS1015-72_NZ_QDDS01000084_gene_copy-1	-	Negative	0	80	#808080	
Klebsiella_michiganensis_strain_XP-B1_NZ_LFZL01000073_gene_copy-1	-	Negative	0	81	#808080	
Klebsiella_michiganensis_strain_KMISG1_NZ_QVNS01000067_gene_copy-1	-	Negative	0	82	#808080	
Klebsiella_michiganensis_strain_1016942_NZ_RDRD01000358_gene_copy-1	-	Negative	0	83	#808080	
Klebsiella_oxytoca_strain_ID154312_NZ_NDXV01000030_gene_copy-1	+	Positive	1	84	#000000	
Klebsiella_oxytoca_strain_102B7_NZ_RZUU01000022_gene_copy-1	+	Positive	1	85	#000000	
Klebsiella_michiganensis_strain_GEO_33_Up_A_NZ_QKPB01000223_gene_copy-1	+	Positive	1	86	#000000	
Klebsiella_michiganensis_strain_GEO_49_Down_A_NZ_QKOQ01000138_gene_copy-1	-	Negative	0	87	#808080	
Klebsiella_michiganensis_strain_M82255_NZ_CP035214_consensus-1	-	Negative	0	88	#808080	
Klebsiella_michiganensis_strain_M82255_NZ_CP035214_consensus-2	-	Negative	0	89	#808080	
Klebsiella_grimontii_strain_SS141_NZ_CP044527_consensus-1	+	Positive	1	90	#000000	
Klebsiella_michiganensis_strain_A202R3B6_NZ_QKWV01000124_gene_copy-1	-	Negative	0	91	#808080	
Klebsiella_michiganensis_strain_Kox37_NZ_RZJS01000090_gene_copy-1	-	Negative	0	92	#808080	
Klebsiella_oxytoca_strain_BX1S15_NZ_SRRL01000042_gene_copy-1	+	Positive	1	93	#000000	
Klebsiella_michiganensis_strain_KNU07_NZ_CP041515_consensus-1	-	Negative	0	94	#808080	
Klebsiella_michiganensis_strain_KNU07_NZ_CP041515_consensus-2	-	Negative	0	95	#808080	
Klebsiella_oxytoca_strain_T0143A.B-10_NZ_QYOD01000069_gene_copy-1	-	Negative	0	96	#808080	
Klebsiella_oxytoca_strain_T0101B.F-13_NZ_QYNQ01000093_gene_copy-1	+	Positive	1	97	#000000	
Klebsiella_michiganensis_strain_P095L_NZ_QFTT01000055_gene_copy-1	-	Negative	0	98	#808080	
Klebsiella_michiganensis_strain_P049A_NZ_QFUG01000095_gene_copy-1	-	Negative	0	99	#808080	
Klebsiella_grimontii_strain_P043G_NZ_QFVL01000008_gene_copy-1	+	Positive	1	100	#000000	
Klebsiella_grimontii_strain_P038I_NZ_QFVM01000043_gene_copy-1	+	Positive	1	101	#000000	
Klebsiella_grimontii_strain_P079F_NZ_QFVK01000048_gene_copy-1	+	Positive	1	102	#000000	
Klebsiella_michiganensis_strain_T0101B.F-25_NZ_QYNS01000073_gene_copy-1	-	Negative	0	103	#808080	
Klebsiella_grimontii_strain_K1_NZ_VTUJ01000022_gene_copy-1	+	Positive	1	104	#000000	
Klebsiella_grimontii_strain_K1_NZ_CP126593_consensus-1	+	Positive	1	105	#000000	
Klebsiella_grimontii_strain_K1_NZ_CP126593_consensus-2	+	Positive	1	106	#000000	
Klebsiella_michiganensis_strain_FDAARGOS_647_NZ_CP044109_consensus-1	+	Positive	1	107	#000000	
Klebsiella_michiganensis_strain_C52_NZ_CP042545_consensus-1	-	Negative	0	108	#808080	
Klebsiella_michiganensis_strain_CCUG_NZ_VZPD01000075_gene_copy-1	-	Negative	0	109	#808080	
Klebsiella_oxytoca_strain_CLF20_NZ_WJHB01000058_gene_copy-1	+	Positive	1	110	#000000	
Klebsiella_michiganensis_strain_1305118_NZ_WUMF01000042_gene_copy-1	-	Negative	0	111	#808080	
Klebsiella_michiganensis_strain_F107_NZ_CP024643_consensus-2	-	Negative	0	112	#808080	
Klebsiella_michiganensis_strain_BD177_NZ_CP048108_consensus-1	-	Negative	0	113	#808080	
Klebsiella_michiganensis_strain_BD177_NZ_CP048108_consensus-2	-	Negative	0	114	#808080	
Klebsiella_oxytoca_strain_AS012479_NZ_VKSM01000080_gene_copy-1	-	Negative	0	115	#808080	
Klebsiella_oxytoca_strain_AS012465_NZ_VKSW01000071_gene_copy-1	+	Positive	1	116	#000000	
Klebsiella_michiganensis_strain_AS012446_NZ_VLME01000006_gene_copy-1	-	Negative	0	117	#808080	
Klebsiella_oxytoca_strain_AS012254_NZ_VKYY01000002_gene_copy-1	+	Positive	1	118	#000000	
Klebsiella_oxytoca_strain_18099069b_NZ_JAAWXG010000068_gene_copy-1	-	Negative	0	119	#808080	
Klebsiella_michiganensis_strain_CRN_NZ_JABRVP010000147_gene_copy-1	-	Negative	0	120	#808080	
Klebsiella_michiganensis_strain_ZH142-C_NZ_JAAEIO010000068_gene_copy-1	+	Positive	1	121	#000000	
Klebsiella_grimontii_strain_RHBSTW-00054_NZ_CP055412_consensus-1	+	Positive	1	122	#000000	
Klebsiella_grimontii_strain_RHBSTW-00866_NZ_CP055309_consensus-1	+	Positive	1	123	#000000	
Klebsiella_grimontii_strain_RHBSTW-00555_NZ_CP055315_consensus-1	+	Positive	1	124	#000000	
Klebsiella_michiganensis_strain_RHBSTW-00409_NZ_CP055325_consensus-1	-	Negative	0	125	#808080	
Klebsiella_grimontii_strain_RHBSTW-00181_NZ_CP058112_consensus-1	+	Positive	1	126	#000000	
Klebsiella_michiganensis_strain_RHBSTW-00167_NZ_CP058118_consensus-1	-	Negative	0	127	#808080	
Klebsiella_grimontii_strain_RHBSTW-00039_NZ_CP058180_consensus-1	+	Positive	1	128	#000000	
Klebsiella_michiganensis_strain_RHB20-C02_NZ_CP058212_consensus-1	+	Positive	1	129	#000000	
Klebsiella_grimontii_strain_RHBSTW-00165_NZ_CP055364_consensus-1	+	Positive	1	130	#000000	
Klebsiella_grimontii_strain_RHBSTW-00853_NZ_CP056150_consensus-1	+	Positive	1	131	#000000	
Klebsiella_michiganensis_strain_RHBSTW-00909_NZ_CP056136_consensus-1	-	Negative	0	132	#808080	
Klebsiella_grimontii_strain_RHBSTW-00634_NZ_CP056682_consensus-1	+	Positive	1	133	#000000	
Klebsiella_grimontii_strain_RHBSTW-00577_NZ_CP056701_consensus-2	+	Positive	1	134	#000000	
Klebsiella_grimontii_strain_RHBSTW-00186_NZ_CP056760_consensus-1	+	Positive	1	135	#000000	
Klebsiella_oxytoca_strain_RHBSTW-00373_NZ_CP056567_consensus-1	-	Negative	0	136	#808080	
Klebsiella_oxytoca_strain_RHB30-C02_NZ_CP057330_consensus-1	+	Positive	1	137	#000000	
Klebsiella_michiganensis_strain_RHBSTW-00676_NZ_CP055985_consensus-1	-	Negative	0	138	#808080	
Klebsiella_grimontii_strain_RHBSTW-00494_NZ_CP055991_consensus-1	+	Positive	1	139	#000000	
Klebsiella_michiganensis_strain_PS_Koxy4_NZ_VTQA01000088_gene_copy-1	+	Positive	1	140	#000000	
Klebsiella_michiganensis_strain_PS_Koxy4_NZ_CP113904_consensus-1	+	Positive	1	141	#000000	
Klebsiella_michiganensis_strain_PS_Koxy2_NZ_VTQB01000083_gene_copy-1	+	Positive	1	142	#000000	
Klebsiella_michiganensis_strain_PS_Koxy1_NZ_VTQC01000087_gene_copy-1	+	Positive	1	143	#000000	
Klebsiella_michiganensis_strain_PS_Koxy1_NZ_VTQC02000001_consensus-1	+	Positive	1	144	#000000	
Klebsiella_grimontii_strain_RHBSTW-00189_NZ_JABXQY010000001_consensus-1	+	Positive	1	145	#000000	
Klebsiella_oxytoca_strain_RHBSTW-00178_NZ_JABXQZ010000001_consensus-1	+	Positive	1	146	#000000	
Klebsiella_grimontii_strain_RHBSTW-00092_NZ_JABXRN010000001_consensus-1	+	Positive	1	147	#000000	
Klebsiella_michiganensis_strain_RHB20-C01_NZ_JABXTO010000001_consensus-1	+	Positive	1	148	#000000	
Klebsiella_michiganensis_strain_AKKL-001_NZ_CP060111_consensus-1	-	Negative	0	149	#808080	
Klebsiella michiganensis strain KO13459-1 NZ VKMF01000156 gene copy-1(2)	-	Negative	0	150	#808080	
Klebsiella_michiganensis_strain_KO13459-1_NZ_VKMF01000156_gene_copy-1	-	Negative	0	151	#808080	
Klebsiella_michiganensis_strain_KO16290_NZ_VKND01000060_gene_copy-1	-	Negative	0	152	#808080	
Klebsiella_michiganensis_strain_KO17045_NZ_VKNC01000047_gene_copy-1	-	Negative	0	153	#808080	
