# Constructed from biom file
#OTU ID	sample-1	sample-2	sample-3	sample-4	sample-5
05c54a26f47ff56ed553c0f9d71f0a01	2150.0	2151.0	2155.0	2136.0	2142.0
38611d4024ce5e7a0651b810216cab52	2147.0	2120.0	2147.0	2136.0	2137.0
e20aeb92a65734b8d3b24019237a59ff	821.0	834.0	831.0	853.0	817.0
85955e5cc8e2d5176848513bbe6e2953	798.0	805.0	800.0	829.0	840.0
0809030e4401cccef49c959324a66b45	671.0	696.0	637.0	640.0	678.0
e5f3e50bcdf96ae41ab5ed4ad5ded50f	666.0	640.0	674.0	663.0	673.0
0f1ef137f80fbc9f98dc413cc21e9061	641.0	668.0	650.0	672.0	657.0
933a5cd53cd100f5cc76fa73422901ed	657.0	670.0	647.0	648.0	653.0
8dd957d6a8fe16b44bbb241bc3158f61	647.0	640.0	674.0	646.0	662.0
526079bc0efc532069d7b626723d2c73	657.0	606.0	643.0	672.0	687.0
d169f75ff45b33e30b8f25a1ebb1c188	638.0	680.0	646.0	662.0	626.0
655106aa5c2882bdec4b4addc020f96f	660.0	626.0	660.0	616.0	641.0
abcdf70be2f17a220661e260bb4af393	491.0	507.0	508.0	474.0	489.0
a1feecb071350176121b16f3c35343aa	488.0	494.0	460.0	505.0	495.0
75441462c56e1852009d62a9880b0d46	368.0	341.0	339.0	339.0	322.0
f244dee28ed32b7700ea107a669518e0	327.0	324.0	339.0	347.0	338.0
a92a206e62adaf12c37a82bebdc74a92	329.0	336.0	317.0	326.0	357.0
67942402851e78243d939fd05c4ed2f2	318.0	340.0	328.0	342.0	335.0
71b86b8199bf502eb14ee06ec65e6cc9	310.0	322.0	353.0	325.0	344.0
4b41cb1bef2639b7717af8d902f76628	329.0	344.0	318.0	310.0	337.0
a8ab0ef47339a091f60325f55b9227ec	335.0	315.0	324.0	320.0	333.0
0bb07d3a70b0afe60af9dc65f9890ce0	314.0	336.0	305.0	342.0	330.0
c13c253b73ff4759de8585142ccfaf83	327.0	294.0	354.0	315.0	300.0
1e0c9fc9b956d52de9e463196119e01b	293.0	311.0	319.0	337.0	326.0
e32e0479efcc7f186a92a6156a50f19d	338.0	327.0	333.0	0.0	0.0
