# Constructed from biom file
#OTU ID	SRR14527063	SRR14527064	SRR14527065	SRR14527066	SRR14527067	SRR14527068	SRR14527069	SRR14527070	SRR14527071	SRR14527072	SRR14527073	SRR14527074	SRR14527075	SRR14527076	SRR14527077	SRR14527078	SRR14527079	SRR14527080	SRR14527081	SRR14527082	SRR14527083	SRR14527084	SRR14527085	SRR14527086	SRR14527087	SRR14527088	SRR14527089	SRR14527090	SRR14527091	SRR14527092	SRR14527093	SRR14527094	SRR14527095	SRR14527096	SRR14527097	SRR14527098	SRR14527099	SRR14527100	SRR14527101	SRR14527102	SRR14527103	SRR14527104	SRR14527105	SRR14527106	SRR14527107	SRR14527108	SRR14527109	SRR14527110	SRR14527111	SRR14527112	SRR14527113	SRR14527114	SRR14527115	SRR14527116	SRR14527117	SRR14527118	SRR14527119	SRR14527120	SRR14527121	SRR14527122	SRR14527123	SRR14527124	SRR14527125	SRR14527126	SRR14527127	SRR14527128	SRR14527129	SRR14527130	SRR14527131	SRR14527132	SRR14527133	SRR14527134	SRR14527135	SRR14527136	SRR14527137	SRR14527138	SRR14527139	SRR14527140	SRR14527141	SRR14527142	SRR14527143	SRR14527144	SRR14527145	SRR14527146	SRR14527147	SRR14527148	SRR14527149	SRR14527150	SRR14527151	SRR14527152	SRR14527153	SRR14527155	SRR14527156	SRR14527157	SRR14527158	SRR14527159	SRR14527160	SRR14527161	SRR14527162	SRR14527163	SRR14527164	SRR14527165	SRR14527166	SRR14527167	SRR14527168	SRR14527169	SRR14527170	SRR14527171	SRR14527172	SRR14527173	SRR14527174	SRR14527175	SRR14527176	SRR14527177	SRR14527178	SRR14527179	SRR14527180	SRR14527181	SRR14527182	SRR14527183	SRR14527184	SRR14527185	SRR14527186	SRR14527187	SRR14527188	SRR14527190	SRR14527191	SRR14527192	SRR14527193	SRR14527194	SRR14527195	SRR14527196	SRR14527197	SRR14527198	SRR14527199	SRR14527201	SRR14527202	SRR14527203	SRR14527204	SRR14527205	SRR14527206
Klebsiella_michiganensis_version_12	45237.0	1491.0	130.0	0.0	165.0	1472.0	3119.0	64293.0	30.0	127.0	0.0	24067.0	0.0	34.0	0.0	0.0	56.0	0.0	0.0	236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	24556.0	0.0	0.0	0.0	0.0	711.0	1088.0	0.0	0.0	61.0	764.0	19.0	108.0	13.0	38.0	0.0	140.0	32.0	0.0	0.0	38.0	0.0	486.0	479.0	0.0	23.0	0.0	0.0	0.0	0.0	256.0	67610.0	0.0	0.0	15538.0	20.0	284.0	11275.0	17.0	37.0	17529.0	0.0	0.0	0.0	0.0	0.0	10188.0	0.0	88.0	19.0	0.0	0.0	0.0	0.0	33.0	0.0	15.0	0.0	0.0	52.0	42980.0	38575.0	0.0	0.0	0.0	0.0	228.0	0.0	0.0	16.0	19.0	217.0	244.0	0.0	106.0	71.0	0.0	0.0	0.0	20.0	4544.0	47584.0	13.0	16.0	12.0	555.0	0.0	11.0	0.0	0.0	0.0	0.0	782.0	654.0	3079.0	14.0	0.0	0.0	972.0	175.0	7.0	3189.0	19650.0	30089.0	129.0	29968.0	589.0	34884.0
Shared_M-G-P_version_1(MGH	0.0	718.0	24.0	20257.0	22.0	28.0	62.0	0.0	193.0	0.0	0.0	0.0	0.0	205.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	173.0	26.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	17.0	0.0	0.0	0.0	574.0	0.0	64.0	0.0	299.0	43.0	0.0	108.0	0.0	34.0	0.0	3005.0	64.0	0.0	680.0	4569.0	0.0	807.0	2672.0	0.0	10358.0	8461.0	21853.0	376.0	0.0	172.0	0.0	0.0	0.0	0.0	0.0	7717.0	0.0	0.0	0.0	0.0	59.0	263.0	0.0	0.0	0.0	0.0	0.0	0.0	2774.0	0.0	0.0	24827.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47361.0	0.0	134.0	50.0	0.0	0.0	2009.0	0.0	7321.0	0.0	0.0	0.0	0.0	995.0	0.0	0.0	0.0	0.0	12.0	37.0	936.0	42721.0	1453.0	0.0	0.0	14.0	40883.0	475.0	453.0	42871.0	6090.0	3245.0	0.0	268.0	0.0	172.0
Klebsiella_oxytoca_version_6	0.0	1501.0	5608.0	0.0	135.0	962.0	3613.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6899.0	107.0	0.0	0.0	0.0	40.0	0.0	883.0	0.0	0.0	0.0	0.0	0.0	0.0	1086.0	0.0	130.0	0.0	362.0	67.0	0.0	155.0	0.0	92.0	0.0	7132.0	78.0	0.0	0.0	26.0	0.0	0.0	5746.0	0.0	13486.0	19691.0	15899.0	722.0	0.0	2387.0	0.0	0.0	27229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3898.0	15569.0	0.0	24833.0	0.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	1166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1218.0	27902.0	15.0	147.0	0.0	0.0	483.0	0.0	217.0
Klebsiella_oxytoca_version_8	0.0	1176.0	756.0	0.0	0.0	169.0	500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	7135.0	85.0	0.0	0.0	19.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1349.0	0.0	120.0	0.0	390.0	67.0	0.0	146.0	0.0	87.0	0.0	6699.0	70.0	0.0	0.0	0.0	0.0	0.0	5591.0	0.0	3518.0	18861.0	16520.0	691.0	0.0	0.0	0.0	0.0	27243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4024.0	16156.0	36.0	26151.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	1183.0	29519.0	0.0	111.0	0.0	0.0	601.0	0.0	208.0
Shared_M_P(KCTC_1686)	0.0	637.0	4.0	0.0	0.0	18.0	34.0	0.0	119.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	28.0	1.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	268.0	0.0	23.0	0.0	121.0	23.0	0.0	42.0	0.0	37.0	0.0	1858.0	25.0	0.0	83.0	606.0	0.0	548.0	1703.0	0.0	1667.0	5151.0	12618.0	237.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	8478.0	0.0	0.0	0.0	0.0	12.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	444.0	0.0	0.0	3877.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5803.0	0.0	62.0	37.0	0.0	0.0	0.0	0.0	13836.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1474.0	0.0	0.0	7.0	0.0	251.0	175.0	30741.0	2461.0	3545.0	0.0	191.0	0.0	138.0
Shared_G_P_S(P038I)	0.0	0.0	0.0	7308.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	4828.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	30.0	0.0	0.0	0.0	2022.0	0.0	0.0	0.0	0.0	0.0	0.0	329.0	0.0	0.0	0.0	0.0	0.0	12.0	386.0	15245.0	0.0	0.0	0.0	0.0	14718.0	0.0	0.0	0.0	1368.0	0.0	0.0	76.0	0.0	0.0
Klebsiella_grimontii_version_2	0.0	27.0	0.0	3222.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	372.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	20.0	0.0	0.0	0.0	3536.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	183.0	7419.0	0.0	0.0	0.0	0.0	7389.0	0.0	0.0	0.0	556.0	0.0	0.0	18.0	0.0	0.0
Shared_M_G(RHBSTW00165)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	271.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella_oxytoca_version_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	384.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella_michiganensis_version_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
