sample_name	1_oxy2_Ko	2_empty	3_npsA_Ko	4_thdA_Ko	5_npsB_Ko	6_aroX_Ko	7_dhbX_Ko	8_icmX_Ko	9_adsX_Ko	10_hmoX_Ko	11_msfX_Ko	12_uvrX_Ko	13_oxy6_Kg	14_orfABC	15_npsA_Kg	16_thdA_Kg	17_npsB_Kg	18_aroX_Kg	19_dhbX_Kg	20_icmX_Kg	21_adsX_Kg	22_hmoX_Kg	23_msfX_Kg	24_uvrX_Kg	25_oxy1_Km	26_oxy5_Km	27_LeupAB	28_npsA_Km	29_thdA_Km	30_npsB_Km	31_aroX_Km	32_dhbX_Km	33_icmX_Km	34_adsX_Km	35_hmoX_Km	36_msfX_Km	37_uvrX_Km	38_oxy4_Kpas	39_orfA_truncated	40_npsA_Kpa	41_thdA_Kpa	42_npsB_Kpa	43_aroX_Kpa	44_dhbX_Kpa	45_icmX_Kpa	46_adsX_Kpa	47_hmoX_Kpa	48_msfX_Kpa	49_uvrX_Kpa	50_oxy8_Khaux	51_oxy3_Sp
GCF_000240325.1_ASM24032v1_genomic.fasta	87.1	98.98											97.248												99.543	97.603	98.947											94.977												97.592	85.405
GCF_000247835.1_Kleb_oxyt_10-5242_V1_genomic.fasta	86.598	94.898											95.512												96.461	99.084	92.389											95.325												95.183	84.31
GCF_000247855.1_Kleb_oxyt_10-5243_V1_genomic.fasta	99.542	100.0	99.671	99.134	99.359	99.231	99.109	99.526	99.59	99.735	99.432	99.116	86.421		95.003	96.97	95.195	95.641	96.97	95.893	95.538	95.899	92.62	94.474	86.644	86.827		93.557	93.665	94.075	95.299	95.547	95.577	95.282	95.767	92.701	93.324	85.959		93.36	93.074	94.235	94.957	94.911	95.577	95.297	95.635	92.376	93.369	86.009	84.196
GCF_000247875.1_Kleb_oxyt_10-5245_V1_genomic.fasta	99.542	99.425			99.405					98.039	99.27	99.027	86.997				95.808					97.368	92.788	94.385	87.1	87.4				94.012					95.614	92.782	93.236	86.53				94.012					93.86	92.457	93.324	86.468	84.637
GCF_000252915.1_Ko11492-1_1.0_genomic.fasta	99.542	100.0	99.408	99.134	99.497	98.976	99.746	100.0	99.487	99.735	99.513	99.248	86.997		95.003	96.97	95.217	95.563	96.97	96.367	95.333	96.032	92.701	94.607	87.1	87.4		93.557	93.665	94.076	95.222	95.165	96.051	95.077	95.833	92.782	93.501	86.53		93.294	93.074	94.236	94.881	94.784	96.051	95.092	95.701	92.457	93.59	86.468	84.637
GCF_000252915.2_Ko11492-1_1.0_genomic.fasta	99.542	100.0	99.408	99.134	99.497	98.976	99.746	100.0	99.487	99.735	99.513	99.248	86.997		95.003	96.97	95.217	95.563	96.97	96.367	95.333	96.032	92.701	94.607	87.1	87.4		93.557	93.665	94.076	95.222	95.165	96.051	95.077	95.833	92.782	93.501	86.53		93.294	93.074	94.236	94.881	94.784	96.051	95.092	95.701	92.457	93.59	86.468	84.637
GCF_000269585.1_PB_Kleb_oxyt_10-5248_V1_genomic.fasta	99.885	98.276	99.408	99.134	99.497	99.145	99.873	100.0	99.487	99.735	99.513	99.248	86.766		95.003	96.97	95.217	95.726	96.97	96.367	95.333	96.032	92.701	94.607	86.872	87.171		93.557	93.665	94.076	95.385	95.293	96.051	95.077	95.833	92.782	93.501	86.301		93.294	93.074	94.236	95.043	94.911	96.051	95.092	95.701	92.457	93.59	86.239	84.354
GCF_000276705.2_ASM27670v2_genomic.fasta	74.307	98.98								98.039			75.226												75.613	74.898	99.19											74.829												75.226	85.499
GCF_000492815.1_Kleb_oxyt_MGH_42_V1_genomic.fasta	99.427	98.276	99.408	99.134	99.542	99.145	99.873	100.0	99.538	99.735	99.513	99.248	86.997		95.266	96.97	95.263	95.726	96.97	96.367	95.385	96.032	92.701	94.607	87.1	87.4		93.82	93.665	94.122	95.385	95.293	96.051	95.128	95.833	92.782	93.501	86.53		93.557	93.074	94.282	95.043	94.911	96.051	95.143	95.701	92.457	93.59	86.468	84.543
GCF_000492955.1_Kleb_oxyt_MGH_28_V1_genomic.fasta	99.656	98.276	99.408	99.134	99.542	99.231	99.873	100.0	99.538	99.735	99.513	99.248	86.766		95.266	96.97	95.263	95.641	96.97	96.367	95.385	96.032	92.701	94.607	86.872	87.171		93.82	93.665	94.122	95.299	95.293	96.051	95.128	95.833	92.782	93.501	86.301		93.557	93.074	94.282	94.957	94.911	96.051	95.143	95.701	92.457	93.59	86.239	84.354
