File Name,File Definition,Number of 16S Extracted,Reason for No Extraction,Number of Keep Sequences,Number of Outlier Sequences,Number of different sequences saved
GCF_000240325.1_ASM24032v1_genomic.gbff.gz,"Klebsiella michiganensis KCTC 1686, complete sequence",8,,3,5,1
GCF_000247835.1_Kleb_oxyt_10-5242_V1_genomic.gbff.gz,"Klebsiella michiganensis strain Oct-42 supercont1.1, whole genome shotgun sequence",7,,7,0,2
GCF_000247855.1_Kleb_oxyt_10-5243_V1_genomic.gbff.gz,"Klebsiella oxytoca 10-5243 strain Oct-43 supercont1.1, whole genome shotgun sequence",7,,6,1,2
GCF_000247875.1_Kleb_oxyt_10-5245_V1_genomic.gbff.gz,"Klebsiella oxytoca 10-5245 strain Oct-45 supercont1.1, whole genome shotgun sequence",1,,1,0,1
GCF_000252915.1_Ko11492-1_1.0_genomic.gbff.gz,"Klebsiella oxytoca 11492-1 contig_213, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_000252915.2_Ko11492-1_1.0_genomic.gbff.gz,"Klebsiella oxytoca 11492-1 contig_213, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_000269585.1_PB_Kleb_oxyt_10-5248_V1_genomic.gbff.gz,"Klebsiella oxytoca 10-5248 cont1.1, whole genome shotgun sequence",8,,3,5,1
GCF_000276705.2_ASM27670v2_genomic.gbff.gz,"Klebsiella michiganensis E718, complete sequence",8,,6,2,1
GCF_000492815.1_Kleb_oxyt_MGH_42_V1_genomic.gbff.gz,"Klebsiella oxytoca MGH 42 addTf-supercont1.1, whole genome shotgun sequence",8,,2,6,2
GCF_000492955.1_Kleb_oxyt_MGH_28_V1_genomic.gbff.gz,"Klebsiella oxytoca MGH 28 addUR-supercont1.1, whole genome shotgun sequence",8,,5,3,2
GCF_000507385.1_ASM50738v1_genomic.gbff.gz,"Klebsiella oxytoca BRL6-2 G360DRAFT_scaffold00001.1_C, whole genome shotgun sequence",8,,5,3,1
GCF_000527215.1_KoxKA2v1.0_genomic.gbff.gz,"Klebsiella oxytoca KA-2 ctgN140L547191C22.1634, whole genome shotgun sequence",3,,3,0,1
GCF_000527235.1_KoxOK1v1.0_genomic.gbff.gz,"Klebsiella oxytoca OK-1 ctgN23L1391C31.5262, whole genome shotgun sequence",1,,1,0,1
GCF_000567705.1_Kleb_oxyt_MGH_41_V1_genomic.gbff.gz,"Klebsiella michiganensis strain MGH 41 adjbu-supercont1.1, whole genome shotgun sequence",6,,2,4,2
GCF_000567805.1_Kleb_oxyt_MGH_27_V1_genomic.gbff.gz,"Klebsiella michiganensis strain MGH 27 adjbQ-supercont1.1, whole genome shotgun sequence",5,,2,3,2
GCF_000607265.1_Kleb_oxyt_G54_V1_genomic.gbff.gz,"Klebsiella oxytoca G54 adHqJ-supercont1.1, whole genome shotgun sequence",5,,3,2,2
GCF_000632415.1_ASM63241v1_genomic.gbff.gz,"Klebsiella michiganensis HKOPL1 chromosome, complete genome",8,,8,0,1
GCF_000633235.1_ASM63323v1_genomic.gbff.gz,"Klebsiella michiganensis H1g Contig1, whole genome shotgun sequence",1,,1,0,1
GCF_000724525.1_ASM72452v1_genomic.gbff.gz,"Klebsiella michiganensis strain M1 chromosome, complete genome",8,,4,4,2
GCF_000735215.1_ASM73521v1_genomic.gbff.gz,"Klebsiella michiganensis strain R8A contig_1, whole genome shotgun sequence",1,,1,0,1
GCF_000783895.1_ASM78389v1_genomic.gbff.gz,"Klebsiella michiganensis strain FDAARGOS_66 1quiver, whole genome shotgun sequence",9,,4,5,2
GCF_000783895.2_ASM78389v2_genomic.gbff.gz,"Klebsiella michiganensis strain FDAARGOS_66 1_quiver_pilon, whole genome shotgun sequence",9,,4,5,2
GCF_001006545.1_ASM100654v1_genomic.gbff.gz,"Klebsiella michiganensis strain CH2 contig1, whole genome shotgun sequence",1,,1,0,1
GCF_001022115.1_ASM102211v1_genomic.gbff.gz,"Klebsiella oxytoca strain CAV1335 chromosome, complete genome",8,,4,4,1
GCF_001022295.1_ASM102229v1_genomic.gbff.gz,"Klebsiella oxytoca strain CAV1099 chromosome, complete genome",8,,3,5,1
GCF_001028875.1_ASM102887v1_genomic.gbff.gz,"Klebsiella michiganensis strain PHS-892 NODE_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_001028885.1_ASM102888v1_genomic.gbff.gz,"Klebsiella michiganensis strain PHS-890 NODE_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_001030705.1_Kleb_oxyt_CHS143_V1_genomic.gbff.gz,"Klebsiella oxytoca strain CHS143 aetza-supercont1.1, whole genome shotgun sequence",4,No sequences for consensus alignment,0,4,0
GCF_001030755.1_Kleb_oxyt_MGH87_V1_genomic.gbff.gz,"Klebsiella michiganensis strain MGH87 aetAw-supercont1.1, whole genome shotgun sequence",8,,2,6,2
GCF_001030775.1_Kleb_oxyt_MGH88_V1_genomic.gbff.gz,"Klebsiella oxytoca strain MGH88 aetyR-supercont1.1, whole genome shotgun sequence",8,,6,2,2
GCF_001038305.1_ASM103830v1_genomic.gbff.gz,"Klebsiella michiganensis strain GY84G39 contig_1, whole genome shotgun sequence",1,,1,0,1
GCF_001051455.1_ASM105145v1_genomic.gbff.gz,"Klebsiella michiganensis strain CH5 contig1, whole genome shotgun sequence",1,,1,0,1
GCF_001052035.1_ASM105203v1_genomic.gbff.gz,"Klebsiella michiganensis strain 1081_KOXY 100_47877_836678, whole genome shotgun sequence",1,,1,0,1
GCF_001052045.1_ASM105204v1_genomic.gbff.gz,"Klebsiella michiganensis strain 1082_KOXY 101_15082_205491, whole genome shotgun sequence",1,,1,0,1
GCF_001052525.1_ASM105252v1_genomic.gbff.gz,"Klebsiella michiganensis strain 1246_KOXY 1000_10109_133491_345+,192+,605+, whole genome shotgun sequence",1,,1,0,1
GCF_001052785.1_ASM105278v1_genomic.gbff.gz,"Klebsiella michiganensis strain 1084_KOXY 0_95972_1215158, whole genome shotgun sequence",1,,1,0,1
GCF_001053715.1_ASM105371v1_genomic.gbff.gz,"Klebsiella oxytoca strain 1047_KOXY 101_93913_1275386, whole genome shotgun sequence",1,,1,0,1
GCF_001053845.1_ASM105384v1_genomic.gbff.gz,"Klebsiella michiganensis strain 1085_KOXY 0_589_7974, whole genome shotgun sequence",2,,2,0,2
GCF_001053875.1_ASM105387v1_genomic.gbff.gz,"Klebsiella michiganensis strain 1113_KOXY 1000_6509_69903, whole genome shotgun sequence",1,,1,0,1
GCF_001054575.1_ASM105457v1_genomic.gbff.gz,"Klebsiella oxytoca strain 197_KOXY 1000_8305_148762_888_,380+,873+, whole genome shotgun sequence",1,,1,0,1
